strain	division	location	clade	latitude	longitude
hCoV-19/Nepal/S-84/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-85/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-86/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-88/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-89/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-90/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-91/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-92/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-93/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-94/2021	Province1		21A (Delta)	27.2747483977934	87.0899760995326
hCoV-19/Nepal/S-95/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-96/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-97/2021	Bagmati		21A (Delta)	27.7193306781525	85.3224895611302
hCoV-19/Nepal/S-98/2021	Province1		21A (Delta)	27.2747483977934	87.0899760995326
hCoV-19/Nepal/S-99/2021	Sudurpaschim		21A (Delta)	28.8020373545948	80.8573527055338
